Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Händler-SKU;Preis;Menge;Erstellungsdatum;image-url;Artikel ist Marketplace-Angebot;Produkt-ID-Typ;zshop-shipping-fee;Anmerkung zum Artikel;Artikelzustand;zshop-category1;zshop-browse-path;zshop-storefront-feature;ASIN 1;asin2;asin3;Internationaler Versand;Expressversand;zshop-boldface;Produkt-ID;bid-for-featured-placement;hinzufügen-löschen;Anzahl Bestellungen;Versender;Händlerversandgruppe;Status;Mindestbestellmenge;Restposten verkaufen
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Dunkelblau);;0907PVUY598;10 m Trendyband dklblau;10.99;;07/09/2015 19:25:28 MEST;;y;1;;;11;;;;B00QRIFKR2;;;;;;B00QRIFKR2;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Rot);;0906PTVTGIE;10 m Trendyband rot;10.99;;06/09/2015 07:18:45 MEST;;y;1;;;11;;;;B00QRHR5BM;;;;;;B00QRHR5BM;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Schwarz);;0106V8IHAEP;10 m Trendyband schwarz;10.99;;06/01/2019 08:38:28 MET;;y;1;;;11;;;;B07MBVT5HQ;;;;;;B07MBVT5HQ;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband Silber;;1017QHXA40E;10 m Trendyband silber;10.99;;17/10/2016 17:30:47 MEST;;y;1;;;11;;;;B01MF8LRVA;;;;;;B01MF8LRVA;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Weiss);;0912P4BUUJW;10 m Trendyband weiss;10.99;;12/09/2015 07:55:13 MEST;;y;1;;;11;;;;B00QQP6V8I;;;;;;B00QQP6V8I;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo Trauerschleife Kondolenzschleife Schleifen Beileidsbekundung Trauer Beerdigung Kondolenz (100 Stück);;0930YOLMNPI;100 Stück Trauerschleifen;39.99;;30/09/2021 18:05:37 MEST;;y;1;;;11;;;;B09HL24Q4G;;;;;;B09HL24Q4G;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 100m Juteschnur Jutekordel Jute Natur Drehkordel Dekoband Kordelband Schnur Kordelschnur Packschnur Bastelschnur Bäckerschnur Deko Kordel Gartenschnur;;0908XQAJX9W;100m Jutekordel 2mm;6.99;;08/09/2020 06:02:28 MEST;;y;1;;;11;;;;B08HMM5HSF;;;;;;B08HMM5HSF;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Juteband 6cm Jute Wickelstreifen Jutegewebe Dekojute Frostschutz Geweberolle Jutestoff Spitze Burlap Tischband Juteband Geschenkband Schleifenband (10m, Natur);;0806AC1Q9KD;10m 6cm Juteband Classic Natur;11.99;;06/08/2023 18:32:19 MEST;;y;1;;;11;;;;B0CDVFTGQG;;;;;;B0CDVFTGQG;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo Baby Geschenkband Schleifenband Kleinkind Satinband Geburt Taufe Geburtstag Windeltorte (10m Blau 15mm);;0313Z6TZ9XH;10m Baby Blau Feet 15mm;6.99;;13/03/2022 07:22:40 MET;;y;1;;;11;;;;B08HMBC598;;;;;;B08HMBC598;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo Baby Geschenkband Schleifenband Kleinkind Satinband Geburt Taufe Geburtstag Windeltorte (10m Rosa 15mm);;0313Z6TO2TM;10m Baby Rosa Feet 15mm;6.99;;13/03/2022 07:22:40 MET;;y;1;;;11;;;;B08HM94RD4;;;;;;B08HM94RD4;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Juteband Schleifenband Band Sackleinen Hessische Spitze Jute 30mm breit Classic Natur;;1228XQRWH0V;10m Juteband  2,5cm 2020 Natur;6.99;;28/12/2020 04:47:01 MET;;y;1;;;11;;;;B08RD6ZPHM;;;;;;B08RD6ZPHM;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Juteband 40mm Naturband nachhaltig Sackleinen mit Struktur Jute 40mm breit Natur;10m 40mm breit;1228XQTYMVR;10m Juteband  40mm 2020 Natur;8.99;;28/12/2020 04:50:06 MET;;y;1;;;11;;;;B08RD71GRL;;;;;;B08RD71GRL;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Juteband Schleifenband Band Sackleinen Hessische Spitze Jute 30mm breit Classic Natur;;0131Y5UONK5;10m Juteband 2,5cm 2020 Natur;6.99;;31/01/2021 05:29:29 MET;;y;1;;;11;;;;B08RD6ZPHM;;;;;;B08RD6ZPHM;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
